ID,Section,Type,dist_from_top,Type_name,IGSN
G5,6,1,51-44 cm,rock,
G5,6,1,Unknown Location,rock,
G5,6,1,Unknown Location,rock,
G5,6,1,Unknown Location,rock,
G5,6,1,Bottom of Section,rock,
G5,7,1,Top of Section,rock,
G5,7,1,0-8 cm,rock,
G5,7,1,0-19 cm,rock,
G5,7,1,17,rock,
G5,7,1,37,rock,
G5,7,1,185,rock,
G5,7,1,Unknown Location,rock,
G5,7,1,Unknown Location,rock,
G5,7,1,Unknown Location,rock,
G5,7,1,Unknown Location,rock,
G5,7,1,Unknown Location,rock,
G5,7,1,Unknown Location,rock,
G5,7,1,Bottom of Section,rock,
G6,1,1,Top of Section,rock,
G6,1,1,Top of Section,rock,
G6,1,1,Top of Section,rock,
G6,1,2,0,powder,
G6,1,1,0-28 cm,rock,
G6,1,1,28-42 cm,rock,
G6,1,1,42-53 cm,rock,
G6,1,1,77,rock,
G6,1,1,77,rock,
G6,1,1,Unknown Location,rock,
G6,1,1,Unknown Location,rock,
G6,1,1,Bottom of Section,rock,
G6,2,1,Top of Section,rock,
G6,2,1,0-20 cm,rock,
G6,2,1,15,rock,
G6,2,1,20-50 cm,rock,
G6,2,1,35,rock,
G6,2,1,50-80 cm,rock,
G6,2,1,54,rock,
G6,2,1,54,rock,
G6,2,1,55,rock,
G6,2,1,84,rock,
G6,2,1,Unknown Location,rock,
G6,2,1,Unknown Location,rock,
G6,2,1,Unknown Location,rock,
G6,2,1,Bottom of Section,rock,
G6,2,1,Bottom of Section,rock,
G6,3,1,Top of Section,rock,
G6,3,1,Top of Section,rock,
G6,3,1,0-4 cm,rock,
G6,3,1,3-4 cm,rock,
G6,3,1,7-8 cm,rock,
G6,3,2,8-12.5 cm,powder,
G6,3,1,15-17 cm,rock,
G6,3,1,34-39 cm,rock,
G6,3,1,34-39 cm,rock,
G6,3,3,34-39 cm,TS billets,
G6,3,1,36,rock,
G6,3,0,39,TS,10.60471/ODP00007W
G6,3,1,60,rock,
G6,3,1,62,rock,
G6,3,1,80,rock,
G6,3,1,97,rock,
G6,3,1,Unknown Location,rock,
G6,4,1,0-28 cm,rock,
G6,4,1,19-26 cm,rock,
G6,4,1,25,rock,
G6,4,1,28-50 cm,rock,
G6,4,0,37,TS,10.60471/ODP00007X
G6,4,1,50  cm-bottom,rock,
G6,4,1,55-57 cm,rock,
G6,4,1,Unknown Location,rock,
G6,4,1,Bottom of Section,rock,
G6,5,1,0-20 cm,rock,
G6,5,1,0-23 cm,rock,
G6,5,1,20-50 cm,rock,
G6,5,0,21,TS,10.60471/ODP00007Y
G6,5,1,23-43 cm,rock,
G6,5,1,43-60 cm,rock,
G6,5,1,50-70 cm,rock,
G6,5,1,60 cm-bottom,rock,
G6,5,1,70 cm-bottom,rock,
G6,5,1,81,rock,
G6,5,1,Unknown Location,rock,
G6,5,1,Unknown Location,rock,
G6,5,1,Unknown Location,rock,
G6,5,1,Bottom of Section,rock,
G6,5,1,Bottom of Section,rock,
G6,6,1,Top of Section,rock,
G6,6,1,20-25 cm,rock,
G6,6,3,20-25 cm,TS billets,
G6,6,1,22,rock,
G6,6,0,30,TS,10.60471/ODP00007Z
G6,6,0,32,TS,10.60471/ODP00008A
G6,6,1,68,rock,
